season,team,matches_played,goals_scored,goals_conceded,goal_difference,clean_sheets,points,wins_est,draws_est,losses_est,goals_per_game,conceded_per_game,points_per_game
2023-24,West Ham,38,58,33,25,5,26,5,11,22,1.5263157894736843,0.868421052631579,0.6842105263157895
2023-24,Wolves,37,47,31,16,6,28,6,10,21,1.2702702702702702,0.8378378378378378,0.7567567567567568
2024-25,Arsenal,37,67,22,45,15,52,15,7,15,1.8108108108108107,0.5945945945945946,1.4054054054054055
2024-25,Aston Villa,36,56,26,30,10,38,10,8,18,1.5555555555555556,0.7222222222222222,1.0555555555555556
2024-25,Bournemouth,38,57,27,30,11,42,11,9,18,1.5,0.7105263157894737,1.105263157894737
2024-25,Brentford,38,64,30,34,8,34,8,10,20,1.6842105263157894,0.7894736842105263,0.8947368421052632
2024-25,Brighton,38,64,29,35,9,36,9,9,20,1.6842105263157894,0.7631578947368421,0.9473684210526315
2024-25,Chelsea,38,61,27,34,11,42,11,9,18,1.605263157894737,0.7105263157894737,1.105263157894737
2024-25,Crystal Palace,36,49,23,26,13,46,13,7,16,1.3611111111111112,0.6388888888888888,1.2777777777777777
2024-25,Everton,37,39,25,14,12,44,12,8,17,1.054054054054054,0.6756756756756757,1.1891891891891893
2024-25,Fulham,38,53,32,21,6,28,6,10,22,1.394736842105263,0.8421052631578947,0.7368421052631579
2024-25,Ipswich,38,35,36,-1,2,18,2,12,24,0.9210526315789473,0.9473684210526315,0.47368421052631576
2024-25,Leicester,38,33,34,-1,4,23,4,11,23,0.868421052631579,0.8947368421052632,0.6052631578947368
2024-25,Liverpool,36,85,20,65,16,54,16,6,14,2.361111111111111,0.5555555555555556,1.5
2024-25,Man City,37,71,23,48,14,49,14,7,16,1.9189189189189189,0.6216216216216216,1.3243243243243243
2024-25,Man Utd,38,42,28,14,10,39,10,9,19,1.105263157894737,0.7368421052631579,1.0263157894736843
2024-25,Newcastle,37,66,23,43,14,49,14,7,16,1.7837837837837838,0.6216216216216216,1.3243243243243243
2024-25,Nott'm Forest,38,57,25,32,13,47,13,8,17,1.5,0.6578947368421053,1.236842105263158
2024-25,Southampton,38,25,33,-8,5,26,5,11,22,0.6578947368421053,0.868421052631579,0.6842105263157895
2024-25,Spurs,38,61,31,30,7,31,7,10,21,1.605263157894737,0.8157894736842105,0.8157894736842105
2024-25,West Ham,38,43,30,13,8,34,8,10,20,1.131578947368421,0.7894736842105263,0.8947368421052632
2024-25,Wolves,38,53,30,23,8,34,8,10,20,1.394736842105263,0.7894736842105263,0.8947368421052632
2025-26,Arsenal,37,67,17,50,20,65,20,5,12,1.8108108108108107,0.4594594594594595,1.7567567567567568
2025-26,Aston Villa,38,53,29,24,9,36,9,9,20,1.394736842105263,0.7631578947368421,0.9473684210526315
2025-26,Bournemouth,37,61,24,37,13,47,13,8,16,1.6486486486486487,0.6486486486486487,1.2702702702702702
2025-26,Brentford,38,53,25,28,13,47,13,8,17,1.394736842105263,0.6578947368421053,1.236842105263158
2025-26,Brighton,37,51,23,28,14,49,14,7,16,1.3783783783783783,0.6216216216216216,1.3243243243243243
2025-26,Burnley,37,35,33,2,4,23,4,11,22,0.9459459459459459,0.8918918918918919,0.6216216216216216
2025-26,Chelsea,37,57,26,31,11,41,11,8,18,1.5405405405405406,0.7027027027027027,1.1081081081081081
2025-26,Crystal Palace,37,40,25,15,12,44,12,8,17,1.0810810810810811,0.6756756756756757,1.1891891891891893
2025-26,Everton,38,45,27,18,11,42,11,9,18,1.1842105263157894,0.7105263157894737,1.105263157894737
2025-26,Fulham,38,43,29,14,9,36,9,9,20,1.131578947368421,0.7631578947368421,0.9473684210526315
2025-26,Leeds,37,48,28,20,9,36,9,9,19,1.2972972972972974,0.7567567567567568,0.972972972972973
2025-26,Liverpool,38,61,24,37,14,50,14,8,16,1.605263157894737,0.631578947368421,1.3157894736842106
2025-26,Man City,36,74,18,56,18,60,18,6,12,2.0555555555555554,0.5,1.6666666666666667
2025-26,Man Utd,38,66,24,42,14,50,14,8,16,1.736842105263158,0.631578947368421,1.3157894736842106
2025-26,Newcastle,38,53,28,25,10,39,10,9,19,1.394736842105263,0.7368421052631579,1.0263157894736843
2025-26,Nott'm Forest,38,47,29,18,9,36,9,9,20,1.236842105263158,0.7631578947368421,0.9473684210526315
2025-26,Spurs,38,47,29,18,9,36,9,9,20,1.236842105263158,0.7631578947368421,0.9473684210526315
2025-26,Sunderland,38,38,27,11,11,42,11,9,18,1.0,0.7105263157894737,1.105263157894737
2025-26,West Ham,38,44,29,15,9,36,9,9,20,1.1578947368421053,0.7631578947368421,0.9473684210526315
2025-26,Wolves,37,26,29,-3,8,33,8,9,20,0.7027027027027027,0.7837837837837838,0.8918918918918919
