Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
101	Lee Buchanan	eng ENG	DF	Derby County	18	2001	3.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
102	John Buckley	eng ENG	MF,DF	Blackburn	19	1999	6.8	0.29	1.62	0.44	27.3	1.62	0.44	0.18	0.67	0.00	0.00	Matches
103	Tyler Burey	eng ENG	FW	Millwall	17	2001	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
104	Oliver Burke	sct SCO	FW,MF	West Brom	22	1997	0.4	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
105	Reece Burke	eng ENG	DF	Hull City	22	1996	35.4	0.00	0.31	0.03	9.1	0.31	0.03	0.00	0.00	0.00	0.00	Matches
106	Ryan Burke	ie IRL	DF	Birmingham City	18	2000	0.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
107	Jack Butland	eng ENG	GK	Stoke City	26	1993	35.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
108	Jacob Butterfield	eng ENG	MF	Luton Town	29	1990	9.5	0.11	0.53	0.11	20.0	0.53	0.11	0.20	1.00	0.00	0.00	Matches
109	George Byers	sct SCO	MF	Swansea City	23	1996	23.2	0.09	2.03	0.65	31.9	2.03	0.65	0.04	0.13	0.00	0.00	Matches
110	Nathan Byrne	eng ENG	DF	Wigan Athletic	27	1992	38.8	0.03	0.34	0.05	15.4	0.34	0.05	0.08	0.50	0.00	0.00	Matches
111	Ben Cabango	wls WAL	DF	Swansea City	19	2000	19.7	0.05	0.25	0.10	40.0	0.25	0.10	0.20	0.50	0.00	0.00	Matches
112	Rafael Cabral	br BRA	GK	Reading	29	1990	44.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
113	Tom Cairney	sct SCO	MF	Fulham	28	1991	36.3	0.22	1.18	0.50	41.9	1.19	0.50	0.19	0.44	0.00	0.00	Matches
114	Geoff Cameron	us USA	MF,DF	QPR	34	1985	33.9	0.03	0.38	0.06	15.4	0.38	0.06	0.08	0.50	0.00	0.00	Matches
115	Lee Camp	nir NIR	GK	Birmingham City	34	1984	36.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
116	Fraizer Campbell	eng ENG	FW	Huddersfield	31	1987	17.3	0.17	1.50	0.40	26.9	1.50	0.40	0.12	0.43	0.00	0.00	Matches
117	Tyrese Campbell	eng ENG	FW,MF	Stoke City	19	1999	18.0	0.50	3.06	1.61	52.7	3.06	1.61	0.15	0.28	0.06	0.06	Matches
118	Sergi Canós	es ESP	FW,MF	Brentford	22	1997	11.0	0.00	2.82	0.55	19.4	2.82	0.55	0.00	0.00	0.00	0.00	Matches
119	Tom Carroll	eng ENG	MF	Swansea City	27	1992	4.3	0.00	0.93	0.00	0.0	0.92	0.00	0.00		0.00	0.00	Matches
120	Hayden Carter	eng ENG	DF	Blackburn	19	1999	2.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
121	Cameron Carter-Vickers	us USA	DF	Stoke City	21	1997	11.1	0.00	0.36	0.00	0.0	0.36	0.00	0.00		0.00	0.00	Matches
122	Cameron Carter-Vickers	us USA	DF	Luton Town	21	1997	15.2	0.00	0.13	0.07	50.0	0.13	0.07	0.00	0.00	0.00	0.00	Matches
123	João Carvalho	pt POR	MF	Nottingham	22	1997	9.6	0.10	2.60	0.63	24.0	2.61	0.63	0.04	0.17	0.00	0.00	Matches
124	Oliver Casey	eng ENG	DF	Leeds United	18	2000	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
125	Matty Cash	pl POL	DF	Nottingham	21	1997	40.2	0.07	1.09	0.25	22.7	1.10	0.25	0.07	0.30	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
126	Kiko Casilla	es ESP	GK	Leeds United	32	1986	36.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
127	Ivan Cavaleiro	pt POR	FW,MF	Fulham	25	1993	33.6	0.18	1.73	0.54	31.0	1.73	0.54	0.10	0.33	0.00	0.00	Matches
128	Dimitri Cavaré	fr FRA	DF,MF	Barnsley	24	1995	10.6	0.00	0.28	0.00	0.0	0.28	0.00	0.00		0.00	0.00	Matches
129	Bersant Celina	xk KVX	MF,FW	Swansea City	22	1996	27.4	0.07	2.34	0.58	25.0	2.33	0.58	0.03	0.13	0.00	0.00	Matches
130	Ilias Chair	ma MAR	MF,FW	QPR	21	1997	27.0	0.15	2.37	0.89	37.5	2.37	0.89	0.06	0.17	0.00	0.00	Matches
131	Trevoh Chalobah	eng ENG	MF,DF	Huddersfield	20	1999	30.4	0.03	0.72	0.20	27.3	0.72	0.20	0.05	0.17	0.00	0.00	Matches
132	Conor Chaplin	eng ENG	FW,MF	Barnsley	22	1997	36.7	0.30	2.64	0.93	35.1	2.64	0.93	0.11	0.32	0.00	0.00	Matches
133	Harry Chapman	eng ENG	FW,MF	Blackburn	21	1997	0.9	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
