Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
146	Maxime Colin	fr FRA	DF	Birmingham City	27	1991	44.0	4	0	0	38	25	0	95	63	70			0	Matches
147	Bradley Collins	eng ENG	GK	Barnsley	22	1997	19.0	1	0	0	0	4	0	0	0	1			0	Matches
148	James Collins	ie IRL	FW	Luton Town	28	1990	43.8	9	0	0	95	80	35	21	22	25			0	Matches
149	Nathan Collins	ie IRL	DF	Stoke City	18	2001	5.9	2	0	0	8	2	0	2	9	7			0	Matches
150	Jake Cooper	eng ENG	DF	Millwall	24	1995	46.0	10	0	0	54	34	5	14	46	22			0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
151	Liam Cooper	sct SCO	DF	Leeds United	27	1991	34.7	2	0	0	28	39	1	2	76	30			0	Matches
152	Harry Cornick	eng ENG	FW,MF	Luton Town	24	1995	34.3	2	0	0	26	38	20	111	14	13			0	Matches
153	Hélder Costa	ao ANG	MF	Leeds United	25	1994	32.8	3	0	0	40	49	11	100	15	39			0	Matches
154	Nuno da Costa	cv CPV	FW,MF	Nottingham	28	1991	4.9	2	0	0	9	10	3	0	5	7			1	Matches
155	Hayden Coulson	eng ENG	MF,DF	Middlesbrough	21	1998	20.9	3	0	0	38	45	2	91	28	33			0	Matches
156	Jordan Cousins	eng ENG	MF	Stoke City	25	1994	15.9	3	0	0	25	23	0	6	21	19			0	Matches
157	Martin Cranie	eng ENG	DF,MF	Luton Town	32	1986	18.8	3	0	0	19	9	0	11	29	26			0	Matches
158	Daniel Crowley	eng ENG	MF	Birmingham City	21	1997	27.8	5	0	0	35	28	1	140	8	28			0	Matches
159	Alessio da Cruz	cv CPV	FW,MF	Sheffield Weds	22	1997	7.6	1	0	0	19	12	3	24	3	8			0	Matches
160	Josh Cullen	ie IRL	MF	Charlton Athletic	23	1996	33.6	7	0	0	36	71	0	164	39	28			0	Matches
161	Liam Cullen	wls WAL	FW,MF	Swansea City	20	1999	0.5	0	0	0	3	0	1	1	0	1			0	Matches
162	Greg Cunningham	ie IRL	DF	Blackburn	28	1991	7.2	2	0	0	5	14	0	22	13	12			0	Matches
163	Bradley Dack	eng ENG	MF	Blackburn	25	1993	20.8	4	1	1	38	29	11	12	5	17			0	Matches
164	Stuart Dallas	nir NIR	DF,MF	Leeds United	28	1991	43.7	7	0	0	54	66	4	128	43	62			0	Matches
165	Henrik Dalsgaard	dk DEN	DF,MF	Brentford	30	1989	42.0	4	0	0	48	30	2	56	50	46			0	Matches
166	Matty Daly	eng ENG	MF	Huddersfield	18	2001	0.6	0	0	0	0	0	0	0	0	0			0	Matches
167	Donervon Daniels	ms MSR	DF	Luton Town	25	1993	2.1	0	0	0	0	0	0	0	3	3			1	Matches
168	Jay Dasilva	wls WAL	DF,MF	Bristol City	21	1998	21.8	1	0	0	9	13	1	48	24	31			0	Matches
169	Josh Dasilva	eng ENG	MF	Brentford	20	1998	33.1	2	0	0	15	34	3	89	13	20			0	Matches
170	Jacob Davenport	eng ENG	MF	Blackburn	20	1998	1.8	2	0	0	8	3	1	9	3	2			0	Matches
171	Adam Davies	wls WAL	GK	Stoke City	27	1992	4.0	0	0	0	0	0	0	0	0	1			0	Matches
172	Ben Davies	eng ENG	DF	Preston	23	1995	35.3	2	0	0	11	23	0	2	25	18			1	Matches
173	Curtis Davies	sl SLE	DF	Derby County	34	1985	26.2	1	0	0	25	21	1	2	56	35			0	Matches
174	David Davis	eng ENG	MF	Charlton Athletic	28	1991	5.0	2	0	0	18	6	0	1	7	6			0	Matches
175	David Davis	eng ENG	MF	Birmingham City	28	1991	12.8	5	0	0	24	9	0	2	13	21			0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
176	Leif Davis	eng ENG	DF,MF	Leeds United	19	1999	0.2	0	0	0	0	0	0	1	0	2			0	Matches
177	Josh Davison	eng ENG	FW	Charlton Athletic	19	1999	4.4	0	0	0	4	6	0	2	1	2			0	Matches
178	Cameron Dawson	eng ENG	GK	Sheffield Weds	24	1995	23.1	0	0	0	0	1	0	0	0	0			1	Matches
179	Michael Dawson	eng ENG	DF	Nottingham	35	1983	15.6	1	0	0	7	12	0	0	10	4			0	Matches
180	Joe Day	eng ENG	GK	Cardiff City	28	1990	0.4	0	0	0	0	0	0	0	0	0			0	Matches
181	Jón Daði Böðvarsson	is ISL	FW	Millwall	27	1992	15.3	2	0	0	9	23	7	6	8	12			0	Matches
182	Bobby De Cordova-Reid	jm JAM	MF,FW	Fulham	26	1993	31.6	4	0	0	31	41	12	42	14	32			0	Matches
183	Bobby De Cordova-Reid	jm JAM	MF	Cardiff City	26	1993	1.0	1	0	0	1	2	0	0	0	0			0	Matches
184	Harlee Dean	eng ENG	DF	Birmingham City	28	1991	35.0	5	2	1	41	21	1	16	61	19			0	Matches
185	Ben Dempsey	eng ENG	MF	Charlton Athletic	19	1999	2.9	1	0	0	4	2	0	5	1	1			0	Matches
186	Mike van der Hoorn	nl NED	DF	Swansea City	26	1992	25.4	3	0	0	18	24	0	4	24	15			0	Matches
187	Halil Dervişoğlu	tr TUR	FW	Brentford	19	1999	0.5	1	0	0	2	3	1	0	2	0			0	Matches
188	Yan Dhanda	eng ENG	MF	Swansea City	20	1998	8.8	2	0	0	17	21	1	22	3	1			0	Matches
189	Bambo Diaby	sn SEN	DF	Barnsley	21	1997	20.7	8	0	0	31	18	0	0	32	22			2	Matches
190	Adama Diakhaby	fr FRA	MF	Nottingham	23	1996	4.0	3	0	0	10	16	1	13	1	6			0	Matches
191	Adama Diakhaby	fr FRA	MF,FW	Huddersfield	23	1996	9.6	3	0	0	11	23	3	28	3	14			0	Matches
192	Grady Diangana	cd COD	MF	West Brom	21	1998	20.6	2	0	0	15	43	8	45	7	21			0	Matches
193	Nouha Dicko	ml MLI	FW	Hull City	27	1992	1.0	0	0	0	3	1	0	0	0	0			0	Matches
194	Famara Diedhiou	sn SEN	FW	Bristol City	26	1992	32.1	3	1	0	75	58	20	4	10	15			0	Matches
195	Anfernee Dijksteel	sr SUR	DF,MF	Middlesbrough	22	1996	11.6	3	0	0	17	17	0	23	10	14			0	Matches
196	Anfernee Dijksteel	sr SUR	MF	Charlton Athletic	22	1996	1.0	0	0	0	1	3	0	0	0	1			0	Matches
197	Mihai Dobre	ro ROU	FW,MF	Wigan Athletic	20	1998	0.1	0	0	0	0	0	0	0	0	0			0	Matches
198	Kenneth Dougall	au AUS	MF	Barnsley	26	1993	9.4	3	0	0	14	10	0	3	12	17			0	Matches
199	Alfie Doughty	eng ENG	DF,MF	Charlton Athletic	19	1999	21.9	2	0	0	16	16	6	108	27	24			0	Matches
200	Barry Douglas	sct SCO	DF	Leeds United	29	1989	7.2	0	0	0	6	8	1	47	9	6			0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
201	Kieran Dowell	eng ENG	MF	Derby County	21	1997	7.8	2	0	0	6	10	1	30	3	9			0	Matches
202	Kieran Dowell	eng ENG	MF	Wigan Athletic	21	1997	10.0	0	0	0	15	8	1	57	6	8			0	Matches
203	Stewart Downing	eng ENG	MF,DF	Blackburn	35	1984	37.8	1	0	0	11	14	1	299	27	14			0	Matches
204	Mark Duffy	eng ENG	FW	Stoke City	33	1985	1.9	0	0	0	2	7	0	12	3	1			0	Matches
