Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
74	Ashley Barnes	eng ENG	FW	Norwich City	34	1989	8	173	22	4.2	1.9	0.53	67	0.00	3.68	15	0.53	1.38	1.05	0.53	0.53	+0.52	+0.47	Matches
75	Ashley Barnes	eng ENG	FW	Burnley	34	1989	13	134	10	3.2	1.5	0.67	78	0.00	8.00	5	4.67	2.29	2.67	0.67	2.00	+2.01	+0.89	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
76	Louie Barry	eng ENG	MF	Hull City	21	2003	4	165	41	4.0	1.8	1.11	49	0.00	1.11	34	0.00	1.00	1.11	1.11	0.00	0.00	+0.23	Matches
77	Kyle Bartley	eng ENG	DF	West Brom	33	1991	31	2,610	84	63.0	29.0	1.03	86	0.90	0.03	20	0.07	1.48	1.21	1.00	0.21	+0.21	-0.03	Matches
78	Norman Bassette	be BEL	FW	Coventry City	19	2004	25	907	36	21.9	10.1	1.09	67	0.10	1.39	12	1.19	1.48	1.39	1.39	0.00	0.00	-0.17	Matches
79	Danny Batth	eng ENG	DF	Blackburn	33	1990	37	3,009	81	72.7	33.4	1.02	87	0.90	0.09	21	0.06	1.49	1.05	0.99	0.06	+0.06	-0.18	Matches
80	Patrick Bauer	de GER	DF	Preston	31	1992	1	6	6	0.1	0.1	0.00		0.00	10.0	6	240.0	1.00	0.00	10.0	-10.00	-15.00	-14.78	Matches
81	Vakoun Bayo	ci CIV	FW	Watford	27	1997	41	2,242	55	54.2	24.9	1.00	76	0.28	0.64	21	0.08	1.22	1.20	1.37	-0.16	-0.16	+0.03	Matches
82	James Beadle	eng ENG	GK	Sheffield Weds	20	2004	38	3,420	90	82.6	38.0	1.00	90	1.00	0.00		0.21	1.34	1.39	1.55	-0.16	-0.16	+0.22	Matches
83	Owen Beck	wls WAL	DF,MF	Blackburn	21	2002	24	1,874	78	45.3	20.8	1.01	86	0.91	0.14	21	0.00	1.33	0.96	0.82	0.14	+0.14	+0.06	Matches
84	Chris Bedia	ci CIV	FW	Hull City	28	1996	21	921	44	22.2	10.2	0.88	82	0.29	1.18	16	0.20	0.67	1.27	1.67	-0.39	-0.39	-0.22	Matches
85	Amari'i Bell	jm JAM	DF,MF	Luton Town	30	1994	31	2,706	87	65.4	30.1	1.03	87	0.86	0.00		0.03	1.03	0.83	1.36	-0.53	-0.53	-0.03	Matches
86	Luke Bell		GK	Coventry City			0					0		0	0		3							Matches
87	Sam Bell	eng ENG	FW,MF	Bristol City	22	2002	20	440	22	10.6	4.9	0.00		0.00	4.08	22	2.04	1.18	1.43	1.43	0.00	0.00	-0.10	Matches
88	Jobe Bellingham	eng ENG	MF	Sunderland	18	2005	40	3,507	88	84.7	39.0	1.00	89	0.97	0.03	30	0.00	1.81	1.33	0.95	0.38	+0.38	+0.53	Matches
89	Bachir Belloumi	dz ALG	FW,MF	Hull City	22	2002	10	815	82	19.7	9.1	1.10	82	0.44	0.00		0.00	1.20	1.32	1.54	-0.22	-0.22	0.00	Matches
90	Anis Ben Slimane	tn TUN	MF	Norwich City	23	2001	33	2,091	63	50.5	23.2	1.08	73	0.17	0.34	32	0.04	1.21	1.55	1.72	-0.17	-0.17	-0.48	Matches
91	Anis Ben Slimane	tn TUN	MF	Sheffield United	23	2001	3	46	15	1.1	0.5	0.00		0.00	6.00	15	0.00	1.67	0.00	2.00	-2.00	-1.96	-2.57	Matches
92	Benedict Benagr	eng ENG	DF	Luton Town	16	2007	0					0		0	0		1							Matches
93	Joe Bennett	eng ENG	DF	Oxford United	34	1990	12	744	62	18.0	8.3	0.96	80	0.48	0.48	27	0.00	1.42	1.20	1.57	-0.36	-0.36	-0.02	Matches
94	Daniel Bennie	au AUS	FW	QPR	18	2006	12	216	18	5.2	2.4	0.42	63	0.00	4.58	14	8.33	1.17	0.83	1.25	-0.42	-0.42	-0.21	Matches
95	Jóhann Berg Guðmundsson	is ISL	FW,MF	Burnley	33	1990	1	16	16	0.4	0.2	0.00		0.00	5.00	16	0.00	3.00	10.0	0.00	10.0	+11.25	+10.14	Matches
96	Di'Shon Bernard	jm JAM	DF	Sheffield Weds	23	2000	27	2,235	83	54.0	24.8	1.05	85	0.89	0.04	18	0.00	1.30	1.29	1.41	-0.12	-0.12	+0.16	Matches
97	Kian Best	eng ENG	DF	Preston	18	2005	1	4	4	0.1	0.0	0		0	1	4	11	0.00	0	0	0	0.00	+0.24	Matches
98	Florian Bianchini	fr FRA	FW	Swansea City	23	2001	36	1,103	31	26.6	12.3	0.65	70	0.08	2.28	19	0.65	1.25	1.06	1.87	-0.81	-0.82	-0.96	Matches
99	Jake Bidwell	eng ENG	DF,MF	Coventry City	31	1993	29	2,062	71	49.8	22.9	1.00	83	0.61	0.26	24	0.48	1.48	1.31	1.18	0.13	+0.13	0.00	Matches
100	Luis Binks	eng ENG	DF	Coventry City	22	2001	22	1,852	84	44.7	20.6	1.02	88	0.87	0.05	1	1.17	1.32	1.31	1.46	-0.15	-0.15	-0.50	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
101	Max Bird	eng ENG	MF	Bristol City	23	2000	46	3,481	76	84.1	38.7	1.11	79	0.52	0.08	29	0.00	1.42	1.29	1.14	0.16	+0.16	+0.43	Matches
102	Colby Bishop	eng ENG	FW	Portsmouth	27	1996	32	2,629	82	63.5	29.2	1.06	84	0.72	0.03	13	0.00	1.41	1.40	1.44	-0.03	-0.03	+0.68	Matches
103	Billy Blacker	eng ENG	FW	Sheffield United	18	2006	1	1	1	0.0	0.0	0		0	1	1	9	3.00	0	0	0	0.00	-0.59	Matches
104	Corey Blackett-Taylor	eng ENG	MF,FW	Derby County	26	1997	12	404	34	9.8	4.5	0.89	59	0.00	1.78	21	2.22	0.50	0.67	1.33	-0.67	-0.67	-0.55	Matches
105	Harvey Blair	eng ENG	MF	Portsmouth	20	2003	12	294	25	7.1	3.3	0.91	43	0.00	2.73	18	2.42	0.58	1.52	3.33	-1.82	-1.84	-1.67	Matches
