Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
19	Felipe Araruna	br BRA	MF	Reading	25	1996	0.5	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
20	Cameron Archer	eng ENG	FW	Preston	20	2001	18.0	0.39	2.50	1.11	44.4	2.50	1.11	0.16	0.35	0.00	0.00	Matches
21	Tyrell Ashcroft	eng ENG	MF,DF	Reading	17	2004	3.4	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
22	Zachary Ashworth	wls WAL	DF,MF	West Brom	18	2002	0.8	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
23	Robert Atkinson	eng ENG	DF	Bristol City	23	1998	29.6	0.07	0.68	0.17	25.0	0.68	0.17	0.10	0.40	0.00	0.00	Matches
24	Charlie Austin	eng ENG	FW	QPR	32	1989	17.4	0.29	2.87	0.92	32.0	2.88	0.92	0.08	0.25	0.06	0.11	Matches
25	Daniel Ayala	es ESP	DF	Blackburn	30	1990	16.1	0.12	0.62	0.31	50.0	0.62	0.31	0.20	0.40	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Femi Azeez	ng NGA	MF,FW	Reading	20	2001	6.2	0.32	2.42	0.65	26.7	2.42	0.65	0.13	0.50	0.00	0.00	Matches
27	Fin Back	eng ENG	MF,DF	Nottingham	18	2002	2.8	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
28	Juninho Bacuna	cw CUW	MF,FW	Birmingham City	23	1997	14.5	0.14	2.14	0.69	32.3	2.14	0.69	0.06	0.20	0.00	0.00	Matches
29	Leandro Bacuna	cw CUW	MF,FW	Cardiff City	29	1991	11.4	0.09	1.14	0.26	23.1	1.14	0.26	0.08	0.33	0.00	0.00	Matches
30	Joel Bagan	ie IRL	DF,MF	Cardiff City	21	2000	22.8	0.13	0.79	0.31	38.9	0.79	0.31	0.17	0.43	0.00	0.00	Matches
31	Lewis Baker	eng ENG	MF	Stoke City	26	1995	20.0	0.40	1.70	0.60	35.3	1.70	0.60	0.15	0.42	0.15	0.15	Matches
32	Nathan Baker	eng ENG	DF	Bristol City	30	1991	11.1	0.09	0.63	0.09	14.3	0.63	0.09	0.14	1.00	0.00	0.00	Matches
33	Tyreeq Bakinson	eng ENG	MF	Bristol City	22	1998	9.5	0.11	1.47	0.53	35.7	1.48	0.53	0.07	0.20	0.00	0.00	Matches
34	George Baldock	gr GRE	MF,DF	Sheffield United	28	1993	22.6	0.04	0.49	0.13	27.3	0.49	0.13	0.09	0.33	0.00	0.00	Matches
35	Sam Baldock	eng ENG	FW	Derby County	32	1989	8.9	0.22	1.57	0.79	50.0	1.58	0.79	0.14	0.29	0.00	0.00	Matches
36	Dominic Ball	eng ENG	MF	QPR	25	1995	13.5	0.00	0.52	0.07	14.3	0.52	0.07	0.00	0.00	0.00	0.00	Matches
37	Daniel Ballard	nir NIR	DF	Millwall	21	1999	29.3	0.03	0.68	0.27	40.0	0.68	0.27	0.05	0.13	0.00	0.00	Matches
38	Folarin Balogun	us USA	FW	Middlesbrough	20	2001	9.9	0.30	2.53	1.41	56.0	2.53	1.41	0.12	0.21	0.00	0.00	Matches
39	Sol Bamba	ci CIV	DF	Middlesbrough	36	1985	18.5	0.00	0.54	0.11	20.0	0.54	0.11	0.00	0.00	0.00	0.00	Matches
40	Yoann Barbet	fr FRA	DF	QPR	28	1993	41.0	0.05	0.83	0.17	20.6	0.83	0.17	0.06	0.29	0.00	0.00	Matches
41	Brandon Barker	eng ENG	FW,MF	Reading	24	1996	0.3	0.00	3.33	3.33	100.0	3.33	3.33	0.00	0.00	0.00	0.00	Matches
42	Tom Barkhuizen	eng ENG	MF,FW	Preston	28	1993	8.8	0.00	1.02	0.34	33.3	1.03	0.34	0.00	0.00	0.00	0.00	Matches
43	Kyle Bartley	eng ENG	DF	West Brom	30	1991	38.2	0.05	1.23	0.42	34.0	1.23	0.42	0.04	0.13	0.00	0.00	Matches
44	Chris Basham	eng ENG	DF	Sheffield United	33	1988	24.5	0.00	0.24	0.00	0.0	0.25	0.00	0.00		0.00	0.00	Matches
45	Amine Bassi	fr FRA	MF,FW	Barnsley	23	1997	13.3	0.15	1.35	0.45	33.3	1.35	0.45	0.11	0.33	0.00	0.00	Matches
46	Danny Batth	eng ENG	DF	Stoke City	30	1990	10.1	0.00	0.89	0.10	11.1	0.89	0.10	0.00	0.00	0.00	0.00	Matches
47	Patrick Bauer	de GER	DF	Preston	28	1992	31.8	0.09	0.47	0.22	46.7	0.47	0.22	0.20	0.43	0.00	0.00	Matches
48	Nathan Baxter	eng ENG	GK	Hull City	22	1998	16.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
49	Jake Beesley	eng ENG	FW	Blackpool	24	1996	3.8	0.53	2.89	1.05	36.4	2.88	1.05	0.18	0.50	0.00	0.00	Matches
50	Mark Beevers	eng ENG	DF	Peterborough	31	1989	12.8	0.00	0.47	0.08	16.7	0.47	0.08	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Jérémie Bela	ao ANG	MF,DF	Birmingham City	28	1993	25.6	0.08	1.37	0.23	17.1	1.37	0.23	0.06	0.33	0.00	0.00	Matches
52	Amari'i Bell	jm JAM	MF,DF	Luton Town	27	1994	39.8	0.03	0.45	0.13	27.8	0.45	0.13	0.06	0.20	0.00	0.00	Matches
53	Sam Bell	eng ENG	DF,MF	Bristol City	19	2002	2.7	0.00	0.74	0.00	0.0	0.75	0.00	0.00		0.00	0.00	Matches
54	Jobe Bellingham	eng ENG	MF	Birmingham City	15	2005	0.4	0.00	2.50	0.00	0.0	2.25	0.00	0.00		0.00	0.00	Matches
55	Ayman Benarous	eng ENG	MF	Bristol City	18	2003	6.7	0.00	0.75	0.00	0.0	0.75	0.00	0.00		0.00	0.00	Matches
56	Steven Benda	de GER	GK	Peterborough	22	1998	9.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
57	Steven Benda	de GER	GK	Swansea City	22	1998	5.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
58	Mason Bennett	eng ENG	FW,MF	Millwall	25	1996	15.4	0.19	1.43	0.52	36.4	1.43	0.52	0.14	0.38	0.00	0.00	Matches
59	Ryan Bennett	eng ENG	DF	Swansea City	31	1990	16.0	0.00	0.13	0.06	50.0	0.13	0.06	0.00	0.00	0.00	0.00	Matches
60	Josh Benson	eng ENG	MF	Barnsley	21	1999	15.1	0.00	1.13	0.33	29.4	1.12	0.33	0.00	0.00	0.00	0.00	Matches
61	Daniel Bentley	eng ENG	GK	Bristol City	28	1993	37.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
62	Sander Berge	no NOR	MF	Sheffield United	23	1998	23.1	0.22	1.34	0.56	41.9	1.34	0.56	0.16	0.38	0.00	0.00	Matches
63	Di'Shon Bernard	jm JAM	DF	Hull City	20	2000	23.8	0.00	0.55	0.17	30.8	0.55	0.17	0.00	0.00	0.00	0.00	Matches
64	Luke Berry	eng ENG	MF	Luton Town	29	1992	7.9	0.76	2.66	1.27	47.6	2.67	1.27	0.29	0.60	0.00	0.00	Matches
65	Bartosz Białkowski	pl POL	GK	Millwall	34	1987	46.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
66	Jake Bidwell	eng ENG	MF,DF	Coventry City	28	1993	12.6	0.00	0.56	0.00	0.0	0.55	0.00	0.00		0.00	0.00	Matches
67	Jake Bidwell	eng ENG	MF	Swansea City	28	1993	15.1	0.13	0.46	0.20	42.9	0.46	0.20	0.29	0.67	0.00	0.00	Matches
68	Krystian Bielik	pl POL	MF	Derby County	23	1998	11.1	0.09	0.81	0.27	33.3	0.81	0.27	0.11	0.33	0.00	0.00	Matches
69	Philip Billing	dk DEN	MF	Bournemouth	25	1996	36.7	0.27	1.88	0.60	31.9	1.88	0.60	0.14	0.45	0.00	0.00	Matches
70	Max Bird	eng ENG	MF	Derby County	20	2000	40.2	0.05	0.87	0.20	22.9	0.87	0.20	0.06	0.25	0.00	0.00	Matches
71	Jamal Blackman	eng ENG	GK	Huddersfield	27	1993	1.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
72	Jayden Bogle	eng ENG	MF,DF	Sheffield United	21	2000	16.3	0.18	1.29	0.55	42.9	1.29	0.55	0.14	0.33	0.00	0.00	Matches
73	Marc Bola	eng ENG	MF,DF	Middlesbrough	23	1997	19.6	0.05	0.92	0.15	16.7	0.92	0.15	0.06	0.33	0.00	0.00	Matches
74	Gaëtan Bong	cm CMR	DF,MF	Nottingham	33	1988	4.9	0.00	0.20	0.00	0.0	0.20	0.00	0.00		0.00	0.00	Matches
75	Jack Bonham	ie IRL	GK	Stoke City	27	1993	15.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
76	Sam Bowen	wls WAL	MF	Cardiff City	20	2001	2.7	0.00	1.85	0.37	20.0	1.84	0.37	0.00	0.00	0.00	0.00	Matches
77	Josh Bowler	eng ENG	MF	Blackpool	22	1999	31.4	0.22	2.26	0.70	31.0	2.26	0.70	0.10	0.32	0.00	0.00	Matches
78	Caolan Boyd-Munce	nir NIR	MF	Middlesbrough	21	2000	0.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
79	Sonny Bradley	eng ENG	DF	Luton Town	29	1991	19.7	0.10	0.46	0.15	33.3	0.46	0.15	0.22	0.67	0.00	0.00	Matches
80	Tom Bradshaw	wls WAL	FW,MF	Millwall	29	1992	15.0	0.60	2.60	1.47	56.4	2.61	1.47	0.23	0.41	0.00	0.00	Matches
81	Robbie Brady	ie IRL	MF,DF	Bournemouth	29	1992	2.2	0.00	0.45	0.00	0.0	0.46	0.00	0.00		0.00	0.00	Matches
82	James Bree	eng ENG	MF,DF	Luton Town	23	1997	41.4	0.02	0.70	0.14	20.7	0.70	0.14	0.03	0.17	0.00	0.00	Matches
83	David Bremang	eng ENG	FW	Barnsley	21	2000	0.4	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
84	Ben Brereton	cl CHI	FW,MF	Blackburn	22	1999	34.1	0.65	3.02	1.44	47.6	3.02	1.44	0.17	0.37	0.12	0.12	Matches
85	Rhian Brewster	eng ENG	FW,MF	Sheffield United	21	2000	8.9	0.34	3.15	1.35	42.9	3.16	1.36	0.11	0.25	0.00	0.00	Matches
86	Ethan Bristow	kn SKN	MF,DF	Reading	19	2001	5.5	0.00	0.73	0.00	0.0	0.73	0.00	0.00		0.00	0.00	Matches
87	Callum Brittain	eng ENG	MF,DF	Barnsley	23	1998	34.1	0.00	0.94	0.23	25.0	0.94	0.23	0.00	0.00	0.00	0.00	Matches
88	David Brooks	wls WAL	FW,MF	Bournemouth	24	1997	5.6	0.18	1.61	0.54	33.3	1.62	0.54	0.11	0.33	0.00	0.00	Matches
89	Ciaron Brown	nir NIR	DF,MF	Cardiff City	23	1998	4.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
90	Jacob Brown	sct SCO	FW	Stoke City	23	1998	36.1	0.36	2.41	0.86	35.6	2.41	0.86	0.15	0.42	0.00	0.00	Matches
91	James Brown	ie IRL	DF	Blackburn	23	1998	1.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
92	Reece Brown	eng ENG	MF	Peterborough	25	1996	5.0	0.00	1.40	0.60	42.9	1.39	0.60	0.00	0.00	0.00	0.00	Matches
93	Alan Browne	ie IRL	MF	Preston	26	1995	35.7	0.11	1.29	0.31	23.9	1.29	0.31	0.09	0.36	0.00	0.00	Matches
94	Joe Bryan	eng ENG	DF	Fulham	27	1993	11.6	0.00	0.95	0.17	18.2	0.95	0.17	0.00	0.00	0.00	0.00	Matches
95	Kean Bryan	eng ENG	DF	West Brom	24	1996	0.5	0.00	2.00	2.00	100.0	1.84	1.84	0.00	0.00	0.00	0.00	Matches
96	Lee Buchanan	eng ENG	DF	Derby County	20	2001	24.7	0.00	0.69	0.20	29.4	0.69	0.20	0.00	0.00	0.00	0.00	Matches
97	John Buckley	eng ENG	MF,FW	Blackburn	21	1999	34.8	0.09	1.21	0.55	45.2	1.21	0.55	0.07	0.16	0.00	0.00	Matches
98	Tyler Burey	eng ENG	FW,MF	Millwall	19	2001	6.9	0.29	1.45	0.43	30.0	1.46	0.44	0.20	0.67	0.00	0.00	Matches
99	Oliver Burke	sct SCO	FW,MF	Millwall	24	1997	9.0	0.22	1.11	0.78	70.0	1.12	0.78	0.20	0.29	0.00	0.00	Matches
100	Oliver Burke	sct SCO	MF,FW	Sheffield United	24	1997	1.9	0.00	1.58	0.53	33.3	1.59	0.53	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
101	Reece Burke	eng ENG	DF	Luton Town	24	1996	23.5	0.04	0.43	0.21	50.0	0.43	0.21	0.10	0.20	0.00	0.00	Matches
102	Finley Burns	eng ENG	DF	Swansea City	18	2003	2.3	0.00	0.43	0.00	0.0	0.43	0.00	0.00		0.00	0.00	Matches
103	Harrison Burrows	eng ENG	MF,DF	Peterborough	19	2002	29.0	0.10	1.28	0.41	32.4	1.27	0.41	0.08	0.25	0.00	0.00	Matches
104	Josef Bursik	eng ENG	GK	Stoke City	21	2000	19.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
105	Dan Butler	eng ENG	DF,MF	Peterborough	26	1994	18.5	0.00	0.16	0.00	0.0	0.16	0.00	0.00		0.00	0.00	Matches
106	Daniel Butterworth	eng ENG	FW	Blackburn	21	1999	2.9	0.00	3.10	1.03	33.3	3.12	1.04	0.00	0.00	0.00	0.00	Matches
107	David Button	eng ENG	GK	West Brom	32	1989	10.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
108	Nathan Byrne	eng ENG	DF	Derby County	29	1992	40.7	0.00	0.15	0.02	16.7	0.15	0.02	0.00	0.00	0.00	0.00	Matches
109	Ben Cabango	wls WAL	DF	Swansea City	21	2000	34.1	0.03	0.50	0.15	29.4	0.50	0.15	0.06	0.20	0.00	0.00	Matches
110	Rafael Cabral	br BRA	GK	Reading	31	1990	6.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
111	Cafú	pt POR	MF	Nottingham	28	1993	4.0	0.25	1.50	0.50	33.3	1.52	0.51	0.17	0.50	0.00	0.00	Matches
112	Gary Cahill	eng ENG	DF	Bournemouth	35	1985	21.5	0.00	0.28	0.05	16.7	0.28	0.05	0.00	0.00	0.00	0.00	Matches
113	Tom Cairney	sct SCO	MF	Fulham	30	1991	17.2	0.17	0.93	0.17	18.8	0.93	0.17	0.19	1.00	0.00	0.00	Matches
114	Mamadi Camará	gw GNB	FW,MF	Reading	17	2003	1.7	0.00	0.59	0.59	100.0	0.60	0.60	0.00	0.00	0.00	0.00	Matches
115	Allan Campbell	sct SCO	MF	Luton Town	23	1998	28.7	0.14	1.01	0.31	31.0	1.01	0.31	0.14	0.44	0.00	0.00	Matches
116	Fraizer Campbell	eng ENG	FW	Huddersfield	33	1987	6.8	0.00	1.76	0.44	25.0	1.76	0.44	0.00	0.00	0.00	0.00	Matches
117	Tyrese Campbell	eng ENG	FW,MF	Stoke City	21	1999	11.7	0.34	2.39	0.85	35.7	2.40	0.86	0.14	0.40	0.00	0.00	Matches
118	Andy Cannon	eng ENG	MF	Hull City	25	1996	4.9	0.20	0.41	0.41	100.0	0.41	0.41	0.50	0.50	0.00	0.00	Matches
119	Todd Cantwell	eng ENG	MF	Bournemouth	23	1998	7.1	0.00	1.41	0.99	70.0	1.41	0.99	0.00	0.00	0.00	0.00	Matches
120	Sonny Carey	eng ENG	MF,FW	Blackpool	20	2001	5.5	0.18	2.55	0.73	28.6	2.57	0.73	0.07	0.25	0.00	0.00	Matches
121	Juan Carlos Familia	do DOM	MF	Birmingham City	21	2000	0.9	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
122	Andy Carroll	eng ENG	FW	Reading	32	1989	6.6	0.30	2.27	0.61	26.7	2.28	0.61	0.13	0.50	0.00	0.00	Matches
123	Andy Carroll	eng ENG	FW	West Brom	32	1989	11.5	0.26	3.13	0.96	30.6	3.13	0.96	0.08	0.27	0.00	0.00	Matches
124	Hayden Carter	eng ENG	DF	Blackburn	21	1999	6.5	0.00	0.15	0.00	0.0	0.15	0.00	0.00		0.00	0.00	Matches
125	Harvey Cartwright	eng ENG	GK	Hull City	19	2002	1.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
126	Fabio Carvalho	pt POR	MF	Fulham	18	2002	31.5	0.35	2.48	1.17	47.4	2.48	1.18	0.14	0.30	0.00	0.00	Matches
127	João Carvalho	pt POR	MF	Nottingham	24	1997	2.7	0.00	0.74	0.00	0.0	0.75	0.00	0.00		0.00	0.00	Matches
128	Oliver Casey	eng ENG	DF	Blackpool	20	2000	3.9	0.26	0.26	0.26	100.0	0.26	0.26	1.00	1.00	0.00	0.00	Matches
129	Eiran Cashin	ie IRL	DF	Derby County	19	2001	14.1	0.07	0.14	0.07	50.0	0.14	0.07	0.50	1.00	0.00	0.00	Matches
130	Quevin Castro	pt POR	FW	West Brom	19	2001	0.4	0.00	5.00	2.50	50.0	4.86	2.43	0.00	0.00	0.00	0.00	Matches
131	Ivan Cavaleiro	pt POR	MF	Fulham	27	1993	6.7	0.30	3.13	0.90	28.6	3.15	0.90	0.10	0.33	0.00	0.00	Matches
132	Ilias Chair	ma MAR	MF,FW	QPR	23	1997	35.0	0.26	2.57	0.97	37.8	2.57	0.97	0.10	0.26	0.00	0.00	Matches
133	Nathaniel Chalobah	eng ENG	MF	Fulham	26	1994	10.5	0.00	0.95	0.00	0.0	0.95	0.00	0.00		0.00	0.00	Matches
134	Harry Chapman	eng ENG	FW,MF	Blackburn	23	1997	0.5	0.00	2.00	0.00	0.0	1.91	0.00	0.00		0.00	0.00	Matches
135	James Chester	wls WAL	DF	Stoke City	32	1989	15.9	0.00	0.50	0.06	12.5	0.50	0.06	0.00	0.00	0.00	0.00	Matches
136	Tahith Chong	cw CUW	FW,MF	Birmingham City	21	1999	17.3	0.06	1.73	0.58	33.3	1.74	0.58	0.03	0.10	0.00	0.00	Matches
137	Cyrus Christie	ie IRL	MF,DF	Swansea City	28	1992	22.3	0.13	1.03	0.49	47.8	1.03	0.49	0.13	0.27	0.00	0.00	Matches
138	Ryan Christie	sct SCO	FW,MF	Bournemouth	26	1995	33.3	0.09	2.16	0.87	40.3	2.16	0.87	0.04	0.10	0.00	0.00	Matches
139	Isaac Christie-Davies	wls WAL	MF	Barnsley	23	1997	0.9	0.00	1.11	1.11	100.0	1.07	1.07	0.00	0.00	0.00	0.00	Matches
140	Jordan Clark	eng ENG	MF,FW	Luton Town	27	1993	18.7	0.11	1.39	0.32	23.1	1.39	0.32	0.08	0.33	0.00	0.00	Matches
141	Jahmari Clarke	jm JAM	FW	Reading	17	2003	1.9	1.05	1.58	1.58	100.0	1.55	1.55	0.67	0.67	0.00	0.00	Matches
142	Matthew Clarke	eng ENG	DF	West Brom	24	1996	30.5	0.03	0.82	0.23	28.0	0.82	0.23	0.04	0.14	0.00	0.00	Matches
143	Jonson Clarke-Harris	jm JAM	FW	Peterborough	27	1994	33.3	0.36	2.13	0.96	45.1	2.13	0.96	0.10	0.22	0.15	0.15	Matches
144	Jake Clarke-Salter	eng ENG	DF	Coventry City	23	1997	25.5	0.00	0.43	0.04	9.1	0.43	0.04	0.00	0.00	0.00	0.00	Matches
145	Leighton Clarkson	eng ENG	MF	Blackburn	19	2001	3.6	0.00	1.11	0.28	25.0	1.10	0.27	0.00	0.00	0.00	0.00	Matches
146	Sam Clucas	eng ENG	MF	Stoke City	30	1990	16.4	0.12	1.34	0.37	27.3	1.34	0.37	0.09	0.33	0.00	0.00	Matches
147	Josh Coburn	eng ENG	FW	Middlesbrough	18	2002	5.3	0.75	2.08	1.13	54.5	2.06	1.12	0.36	0.67	0.00	0.00	Matches
148	Jack Colback	eng ENG	MF,DF	Nottingham	31	1989	34.5	0.09	0.55	0.26	47.4	0.55	0.26	0.16	0.33	0.00	0.00	Matches
149	Devante Cole	eng ENG	FW,MF	Barnsley	26	1995	9.8	0.10	1.63	0.51	31.3	1.64	0.51	0.06	0.20	0.00	0.00	Matches
150	Maxime Colin	fr FRA	DF,MF	Birmingham City	29	1991	30.8	0.03	0.19	0.06	33.3	0.19	0.06	0.17	0.50	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
151	Bradley Collins	eng ENG	GK	Barnsley	24	1997	39.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
152	James Collins	ie IRL	FW,MF	Cardiff City	30	1990	14.3	0.21	2.31	0.77	33.3	2.31	0.77	0.09	0.27	0.00	0.00	Matches
153	Levi Colwill	eng ENG	DF	Huddersfield	18	2003	26.9	0.07	0.56	0.26	46.7	0.56	0.26	0.13	0.29	0.00	0.00	Matches
154	Rubin Colwill	wls WAL	MF,FW	Cardiff City	19	2002	18.5	0.27	1.68	0.54	32.3	1.67	0.54	0.16	0.50	0.00	0.00	Matches
155	Cameron Congreve	wls WAL	MF	Swansea City	17	2004	1.4	0.00	2.86	0.71	25.0	2.93	0.73	0.00	0.00	0.00	0.00	Matches
156	Aaron Connolly	ie IRL	FW	Middlesbrough	21	2000	13.1	0.15	3.13	1.22	39.0	3.12	1.22	0.05	0.13	0.00	0.00	Matches
157	Callum Connolly	eng ENG	DF,MF	Blackpool	23	1997	24.6	0.08	1.46	0.33	22.2	1.46	0.32	0.06	0.25	0.00	0.00	Matches
158	Tommy Conway	sct SCO	FW,MF	Bristol City	18	2002	0.3	0.00	3.33	0.00	0.0	3.10	0.00	0.00		0.00	0.00	Matches
159	Lewis Cook	eng ENG	MF	Bournemouth	24	1997	24.1	0.04	0.58	0.12	21.4	0.58	0.12	0.07	0.33	0.00	0.00	Matches
160	Steve Cook	eng ENG	DF,MF	Bournemouth	30	1991	2.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
161	Steve Cook	eng ENG	DF	Nottingham	30	1991	12.9	0.00	1.16	0.23	20.0	1.17	0.23	0.00	0.00	0.00	0.00	Matches
162	Brandon Cooper	wls WAL	DF	Swansea City	21	2000	3.9	0.00	0.26	0.00	0.0	0.26	0.00	0.00		0.00	0.00	Matches
163	Jake Cooper	eng ENG	DF	Millwall	26	1995	40.9	0.10	1.05	0.37	34.9	1.05	0.37	0.09	0.27	0.00	0.00	Matches
164	Murphy Cooper	eng ENG	GK	QPR	19	2001	2.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
165	Kai Corbett	eng ENG	FW	Peterborough	18	2002	0.6	0.00	3.33	1.67	50.0	3.10	1.55	0.00	0.00	0.00	0.00	Matches
166	David Cornell	wls WAL	GK	Peterborough	30	1991	30.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
167	Harry Cornick	eng ENG	FW	Luton Town	26	1995	26.2	0.46	2.06	0.88	42.6	2.06	0.88	0.22	0.52	0.00	0.00	Matches
168	Hayden Coulson	eng ENG	DF,MF	Peterborough	23	1998	4.0	0.00	0.50	0.00	0.0	0.49	0.00	0.00		0.00	0.00	Matches
169	Conor Coventry	ie IRL	MF	Peterborough	21	2000	4.8	0.00	0.21	0.00	0.0	0.21	0.00	0.00		0.00	0.00	Matches
170	Lewie Coyle	eng ENG	DF,MF	Hull City	25	1995	19.5	0.05	0.87	0.21	23.5	0.87	0.21	0.06	0.25	0.00	0.00	Matches
171	Matt Crooks	eng ENG	MF	Middlesbrough	27	1994	38.7	0.26	1.21	0.47	38.3	1.21	0.46	0.21	0.56	0.00	0.00	Matches
172	Liam Cullen	wls WAL	MF,FW	Swansea City	22	1999	4.8	0.00	1.67	0.83	50.0	1.66	0.83	0.00	0.00	0.00	0.00	Matches
173	Robbie Cundy	eng ENG	DF	Bristol City	24	1997	10.0	0.00	0.60	0.10	16.7	0.60	0.10	0.00	0.00	0.00	0.00	Matches
