Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
64	Luke Berry	eng ENG	MF	Luton Town	29	1992	13	10	709	7.9	0.76	0.25	1.01	0.76	0.00	0.00	0.25	0.00	0.76	0.25	1.02	0.76	1.02	Matches
65	Bartosz Białkowski	pl POL	GK	Millwall	34	1987	46	46	4,140	46.0	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	Matches
66	Jake Bidwell	eng ENG	MF,DF	Coventry City	28	1993	16	13	1,138	12.6	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	Matches
67	Jake Bidwell	eng ENG	MF	Swansea City	28	1993	16	16	1,361	15.1	0.13	0.07	0.20	0.13	0.00	0.00	0.13	0.00	0.13	0.07	0.20	0.13	0.20	Matches
68	Krystian Bielik	pl POL	MF	Derby County	23	1998	15	12	1,003	11.1	0.09	0.00	0.09	0.09	0.00	0.00	0.09	0.00	0.09	0.00	0.09	0.09	0.09	Matches
69	Philip Billing	dk DEN	MF	Bournemouth	25	1996	40	37	3,304	36.7	0.27	0.27	0.54	0.27	0.00	0.00	0.35	0.00	0.27	0.27	0.54	0.27	0.54	Matches
70	Max Bird	eng ENG	MF	Derby County	20	2000	42	41	3,614	40.2	0.05	0.05	0.10	0.05	0.00	0.00	0.05	0.02	0.05	0.05	0.10	0.05	0.10	Matches
71	Jamal Blackman	eng ENG	GK	Huddersfield	27	1993	1	1	90	1.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
72	Jayden Bogle	eng ENG	MF,DF	Sheffield United	21	2000	18	16	1,468	16.3	0.18	0.06	0.25	0.18	0.00	0.00	0.31	0.00	0.18	0.06	0.25	0.18	0.25	Matches
73	Marc Bola	eng ENG	MF,DF	Middlesbrough	23	1997	23	19	1,761	19.6	0.05	0.05	0.10	0.05	0.00	0.00	0.20	0.00	0.05	0.05	0.10	0.05	0.10	Matches
74	Gaëtan Bong	cm CMR	DF,MF	Nottingham	33	1988	7	4	444	4.9	0.00	0.20	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.20	0.00	0.20	Matches
75	Jack Bonham	ie IRL	GK	Stoke City	27	1993	15	15	1,350	15.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
76	Sam Bowen	wls WAL	MF	Cardiff City	20	2001	4	3	244	2.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
77	Josh Bowler	eng ENG	MF	Blackpool	22	1999	42	30	2,824	31.4	0.22	0.10	0.32	0.22	0.00	0.00	0.19	0.00	0.22	0.10	0.32	0.22	0.32	Matches
78	Caolan Boyd-Munce	nir NIR	MF	Middlesbrough	21	2000	1	0	22	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
79	Sonny Bradley	eng ENG	DF	Luton Town	29	1991	22	20	1,770	19.7	0.10	0.00	0.10	0.10	0.00	0.00	0.20	0.05	0.10	0.00	0.10	0.10	0.10	Matches
80	Tom Bradshaw	wls WAL	FW,MF	Millwall	29	1992	24	16	1,346	15.0	0.60	0.07	0.67	0.60	0.00	0.00	0.13	0.00	0.60	0.07	0.67	0.60	0.67	Matches
81	Robbie Brady	ie IRL	MF,DF	Bournemouth	29	1992	6	2	194	2.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
82	James Bree	eng ENG	MF,DF	Luton Town	23	1997	42	42	3,730	41.4	0.02	0.14	0.17	0.02	0.00	0.00	0.12	0.00	0.02	0.14	0.17	0.02	0.17	Matches
83	David Bremang	eng ENG	FW	Barnsley	21	2000	2	0	39	0.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
84	Ben Brereton	cl CHI	FW,MF	Blackburn	22	1999	37	34	3,066	34.1	0.65	0.09	0.73	0.53	0.12	0.12	0.23	0.00	0.65	0.09	0.73	0.53	0.62	Matches
85	Rhian Brewster	eng ENG	FW,MF	Sheffield United	21	2000	14	10	797	8.9	0.34	0.00	0.34	0.34	0.00	0.00	0.22	0.00	0.34	0.00	0.34	0.34	0.34	Matches
86	Ethan Bristow	kn SKN	MF,DF	Reading	19	2001	6	6	495	5.5	0.00	0.18	0.18	0.00	0.00	0.00	0.36	0.00	0.00	0.18	0.18	0.00	0.18	Matches
87	Callum Brittain	eng ENG	MF,DF	Barnsley	23	1998	36	34	3,073	34.1	0.00	0.09	0.09	0.00	0.00	0.00	0.23	0.00	0.00	0.09	0.09	0.00	0.09	Matches
88	David Brooks	wls WAL	FW,MF	Bournemouth	24	1997	7	7	500	5.6	0.18	0.00	0.18	0.18	0.00	0.00	0.54	0.18	0.18	0.00	0.18	0.18	0.18	Matches
89	Ciaron Brown	nir NIR	DF,MF	Cardiff City	23	1998	5	5	421	4.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
