Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
61	Steven Benda	de GER	GK	Swansea City	23	1998	20.7	0.00	0.00	0.00	0.05	0.10	0.00	0.00	0.00	0.00			0.00	Matches
62	Joe Bennett	eng ENG	DF	Wigan Athletic	32	1990	8.3	0.36	0.12	0.00	0.72	0.84	0.00	1.81	0.60	0.96			0.00	Matches
63	Mason Bennett	eng ENG	MF,FW	Millwall	26	1996	6.3	0.32	0.00	0.00	1.43	2.22	0.00	3.33	0.32	1.27			0.00	Matches
64	Jewison Bennette	cr CRC	MF	Sunderland	18	2004	2.8	0.71	0.00	0.00	0.71	2.14	0.36	4.64	1.07	2.50			0.00	Matches
65	Daniel Bentley	eng ENG	GK	Bristol City	29	1993	13.0	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.08			0.00	Matches
66	Jóhann Berg Guðmundsson	is ISL	MF	Burnley	31	1990	21.8	0.09	0.00	0.00	0.78	0.55	0.28	5.28	0.50	0.41			0.00	Matches
67	Sander Berge	no NOR	MF	Sheffield United	24	1998	34.5	0.12	0.00	0.00	0.84	0.49	0.06	1.71	0.46	0.96			0.00	Matches
68	Luke Berry	eng ENG	MF	Luton Town	30	1992	7.5	0.40	0.00	0.00	2.40	0.93	0.40	0.53	0.93	0.80			0.00	Matches
69	Jordan Beyer	de GER	DF	Burnley	22	2000	28.1	0.14	0.00	0.00	0.53	0.85	0.04	0.04	1.32	1.32			0.00	Matches
70	Bartosz Białkowski	pl POL	GK	Millwall	35	1987	10.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00			0.00	Matches
71	Jake Bidwell	eng ENG	MF	Coventry City	29	1993	38.7	0.16	0.00	0.00	1.01	0.52	0.13	3.62	0.62	0.96			0.00	Matches
72	Krystian Bielik	pl POL	MF	Birmingham City	24	1998	32.3	0.37	0.00	0.00	1.46	1.18	0.00	0.22	1.42	1.15			0.00	Matches
73	Nicholas Bilokapic	au AUS	GK	Huddersfield	19	2002	5.3	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00			0.00	Matches
