Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Pos_Primary,Is_Multi_Pos,Player_Key,Season,Table_Type,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_gk,PKA,PKsv,PKm,Save%.1,Squad_Original
754,Freddie Woodman,eng ENG,GK,Preston,27.0,1997.0,37,37,"3,329",37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.03,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,freddie woodman,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,80.4,90.0,0.97,0.0,,0.0,1.24,1.03,1.16,-0.14,-0.14,0.53,0.0,0.03,0.14,0.0,0.03,0.0,0.03,,,0.0,37.0,37.0,"3,329",37.0,1.16,1.16,3.51,2.35,66.9,0.27,0.43,0.3,0.35,35.1,0.11,0.08,0.03,0.0,25.0,Preston
21,Ryan Allsop,eng ENG,GK,Birmingham,33.0,1992.0,11,11,990,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,ryan allsop,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,23.9,90.0,1.0,0.0,,3.18,1.09,0.73,1.36,-0.64,-0.64,-0.86,0.0,0.0,0.45,0.0,0.0,0.0,0.0,,,0.0,11.0,11.0,990,11.0,1.36,1.36,3.09,1.73,55.9,0.27,0.27,0.45,0.18,18.2,0.09,0.09,0.0,0.0,0.0,Birmingham City
62,Nathan Baxter,eng ENG,GK,Watford,26.0,1998.0,7,6,585,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,nathan baxter,2025-2026,standard,0.0,0.0,,0.0,0.0,,,84,14.1,90.0,0.92,0.15,45.0,5.85,1.57,1.69,1.38,0.31,0.31,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,7.0,6.0,585,6.5,1.38,1.38,3.08,1.69,55.0,0.46,0.31,0.15,0.0,0.0,0.0,0.0,0.0,0.0,,Watford
63,Gavin Bazunu,ie IRL,GK,Stoke,23.0,2002.0,6,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,gavin bazunu,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,13.0,90.0,1.0,0.0,,0.0,0.83,0.67,1.33,-0.67,-0.67,-0.64,0.0,0.0,0.67,0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,540,6.0,1.33,1.33,3.17,1.83,57.9,0.17,0.33,0.5,0.33,33.3,0.0,0.0,0.0,0.0,,Stoke City
64,Gavin Bazunu,ie IRL,GK,Southampton,23.0,2002.0,19,19,"1,710",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,gavin bazunu,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,41.3,90.0,1.0,0.0,,0.37,1.42,1.68,1.47,0.21,0.21,-0.6,0.0,0.05,0.42,0.0,0.0,0.0,0.0,,,0.0,19.0,19.0,"1,710",19.0,1.47,1.47,3.79,2.32,61.1,0.37,0.32,0.32,0.16,15.8,0.05,0.05,0.0,0.0,0.0,Southampton
65,James Beadle,eng ENG,GK,Birmingham,21.0,2004.0,35,35,"3,150",35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,james beadle,2025-2026,standard,0.03,0.0,0.0,0.03,0.0,0.0,,90,76.1,90.0,1.0,0.0,,0.23,1.49,1.4,1.17,0.23,0.23,0.86,0.0,0.03,0.17,0.0,0.0,0.03,0.0,,,0.0,35.0,35.0,"3,150",35.0,1.17,1.17,3.69,2.51,68.2,0.4,0.29,0.31,0.23,22.9,0.06,0.03,0.03,0.0,50.0,Birmingham City
66,Asmir Begović,ba BIH,GK,Leicester,38.0,1987.0,11,10,945,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,asmir begovic,2025-2026,standard,0.0,0.0,,0.0,0.0,,,86,22.8,90.0,0.95,0.1,45.0,2.86,0.91,1.43,2.0,-0.57,-0.57,-0.46,0.0,0.0,0.38,0.0,0.0,0.0,0.0,,,0.0,11.0,10.0,945,10.5,2.0,2.0,4.48,2.48,55.3,0.19,0.29,0.48,0.0,0.0,0.0,0.0,0.0,0.0,,Leicester City
71,Steven Benda,de GER,GK,Millwall,26.0,1998.0,9,9,810,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,steven benda,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,19.6,90.0,1.0,0.0,,1.22,1.56,1.0,1.33,-0.33,-0.33,-0.82,0.0,0.0,0.67,0.0,0.0,0.0,0.0,,,0.0,9.0,9.0,810,9.0,1.33,1.33,3.11,1.78,57.1,0.44,0.22,0.33,0.33,33.3,0.0,0.0,0.0,0.0,,Millwall
112,Solomon Brynn,eng ENG,GK,Middlesbrough,24.0,2000.0,46,46,"4,140",46.0,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,Matches,GK,False,solomon brynn,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,100.0,90.0,1.0,0.0,,0.0,1.65,1.57,1.02,0.54,0.54,,0.0,0.07,0.15,0.0,0.0,0.0,0.04,,,0.0,46.0,46.0,"4,140",46.0,1.02,1.02,3.26,2.2,68.7,0.48,0.3,0.22,0.28,28.3,0.17,0.15,0.02,0.0,12.5,Middlesbrough
120,Josef Bursik,eng ENG,GK,Portsmouth,25.0,2000.0,10,10,813,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,josef bursik,2025-2026,standard,0.11,0.0,0.0,0.11,0.0,0.0,,81,19.6,81.0,1.0,0.0,,3.33,0.9,0.89,1.67,-0.78,-0.77,-0.56,0.0,0.0,0.33,0.0,0.0,0.0,0.0,,,0.0,10.0,10.0,813,9.0,1.67,1.66,4.33,2.67,61.5,0.22,0.33,0.56,0.22,20.0,0.11,0.0,0.11,0.0,100.0,Portsmouth
